term,setting,k,silhouette,pairwise_precision,pairwise_recall,pairwise_f1,ARI,NMI,purity,method,embedding,freq_synonyms,logit_synonyms
fam,random_baseline,3,-0.017604190856218338,0.3657331136738056,0.3258317025440313,0.3446313065976714,-0.002251630117493882,0.012793444171146577,0.49056603773584906,random,mask,"{""2"": [[""again"", 2], [""people"", 2], [""world"", 2], [""friends"", 2], [""with"", 2]], ""0"": [[""family"", 6], [""friends"", 3], [""school"", 3], [""kids"", 3], [""but"", 2]], ""1"": [[""family"", 7], [""kids"", 6], [""friends"", 4], [""girls"", 3], [""new"", 3]]}","{""2"": [], ""0"": [""family""], ""1"": [""family""]}"
fam,baseline,1,0.0,0.3672955974842767,1.0,0.5372585096596136,0.0,0.0,0.49056603773584906,baseline,mask,"{""0"": [[""family"", 15], [""kids"", 9], [""friends"", 9], [""band"", 6], [""people"", 6]]}","{""0"": []}"
fam,auto_k,1,0.0,0.3672955974842767,1.0,0.5372585096596136,0.0,0.0,0.49056603773584906,kmeans,tfidf,"{""0"": [[""family"", 15], [""kids"", 9], [""friends"", 9], [""band"", 6], [""people"", 6]]}","{""0"": []}"
fam,auto_k,2,0.17688100039958954,0.371976647206005,0.6545988258317026,0.4743839744726112,0.01123011543461327,0.004080335433810836,0.49056603773584906,kmeans,mask,"{""1"": [[""family"", 15], [""kids"", 9], [""friends"", 9], [""band"", 6], [""people"", 6]], ""0"": [[""।"", 1], [""school"", 1], [""team"", 1], [""army"", 1], [""new"", 1]]}","{""1"": [""family""], ""0"": []}"
fam,auto_k,2,0.17688100039958954,0.371976647206005,0.6545988258317026,0.4743839744726112,0.01123011543461327,0.004080335433810836,0.49056603773584906,agglo,mask,"{""1"": [[""family"", 15], [""kids"", 9], [""friends"", 9], [""band"", 6], [""people"", 6]], ""0"": [[""।"", 1], [""school"", 1], [""team"", 1], [""army"", 1], [""new"", 1]]}","{""1"": [""family""], ""0"": []}"
fam,auto_k,2,0.2941921353340149,0.3758300132802125,0.5538160469667319,0.4477848101265823,0.01808085955748078,0.028468855894997317,0.49056603773584906,kmeans,cls,"{""1"": [[""family"", 9], [""band"", 6], [""kids"", 6], [""boys"", 5], [""girls"", 4]], ""0"": [[""friends"", 6], [""family"", 6], [""you"", 4], [""for"", 3], [""in"", 3]]}","{""1"": [], ""0"": [""family""]}"
fam,auto_k,2,0.3375128507614136,0.36870681145113526,0.7309197651663405,0.49015748031496065,0.0036661999909675673,0.004882312997102705,0.49056603773584906,agglo,cls,"{""0"": [[""family"", 12], [""kids"", 9], [""band"", 6], [""friends"", 5], [""boys"", 5]], ""1"": [[""friends"", 4], [""family"", 3], [""new"", 2], [""people"", 2], [""we"", 2]]}","{""0"": [], ""1"": [""friends""]}"
fam,forced_k,3,0.12574158608913422,0.3778228141285466,0.6384540117416829,0.4747180793015642,0.024562256189421754,0.06849066264216594,0.5188679245283019,kmeans,mask,"{""1"": [[""family"", 15], [""kids"", 9], [""friends"", 9], [""band"", 6], [""people"", 6]], ""0"": [[""school"", 1], [""team"", 1], [""army"", 1]], ""2"": [[""।"", 1], [""new"", 1], [""single"", 1], [""missing"", 1], [""non"", 1]]}","{""1"": [""family""], ""0"": [], ""2"": []}"
fam,forced_k,3,0.11530563980340958,0.37706342311033886,0.636986301369863,0.4737129343278152,0.022785878262022306,0.06259932316630955,0.5094339622641509,agglo,mask,"{""0"": [[""family"", 15], [""kids"", 9], [""friends"", 9], [""band"", 6], [""people"", 6]], ""2"": [[""school"", 1], [""team"", 1], [""army"", 1]], ""1"": [[""।"", 1], [""new"", 1], [""single"", 1], [""missing"", 1], [""non"", 1]]}","{""0"": [""family""], ""2"": [], ""1"": []}"
