term,setting,k,silhouette,pairwise_precision,pairwise_recall,pairwise_f1,ARI,NMI,purity,method,embedding,freq_synonyms,logit_synonyms
uber,random_baseline,3,0.007734759245067835,0.6539961013645225,0.5045112781954887,0.5696095076400679,0.02864616915056279,0.035531187247973176,0.7692307692307693,random,mask,"{""0"": [[""good"", 5], [""quick"", 4], [""great"", 4], [""special"", 4], [""free"", 4]], ""1"": [[""very"", 7], [""bus"", 6], [""really"", 6], [""taxi"", 5], [""cab"", 5]]}","{""0"": [""all"", ""just""], ""1"": []}"
uber,baseline,1,0.0,0.6394230769230769,1.0,0.7800586510263929,0.0,0.0,0.7692307692307693,baseline,mask,"{""0"": [[""very"", 10], [""really"", 8], [""bus"", 8], [""taxi"", 7], [""cab"", 7]]}","{""0"": [""all""]}"
uber,auto_k,1,0.0,0.6394230769230769,1.0,0.7800586510263929,0.0,0.0,0.7692307692307693,kmeans,tfidf,"{""0"": [[""very"", 10], [""really"", 8], [""bus"", 8], [""taxi"", 7], [""cab"", 7]]}","{""0"": [""all""]}"
uber,auto_k,5,0.14819656312465668,0.8301158301158301,0.4849624060150376,0.6122448979591837,0.26616977726342333,0.3936421157552601,0.9384615384615385,kmeans,mask,"{""4"": [[""very"", 10], [""really"", 8], [""super"", 5], [""extremely"", 4], [""most"", 4]], ""1"": [[""quick"", 6], [""free"", 6], [""good"", 5], [""just"", 5], [""two"", 4]], ""2"": [[""taxi"", 7], [""cab"", 7], [""bus"", 7], [""truck"", 5], [""tour"", 3]], ""3"": [], ""0"": [[""ambulance"", 2], [""hour"", 2], [""empty"", 1], [""open"", 1], [""indoor"", 1]]}","{""4"": [""very"", ""really"", ""super"", ""extremely"", ""incredibly""], ""1"": [""all"", ""just""], ""2"": [""taxi"", ""cab"", ""bus"", ""truck"", ""car""], ""3"": [], ""0"": [""ambulance"", ""hour"", ""elevator"", ""emergency"", ""appointment""]}"
uber,auto_k,5,0.13910453021526337,0.9236947791164659,0.3458646616541353,0.5032822757111597,0.23770160964820225,0.41472644075228854,0.9692307692307692,agglo,mask,"{""2"": [[""very"", 10], [""really"", 8], [""super"", 5], [""extremely"", 4], [""most"", 4]], ""4"": [[""quick"", 6], [""free"", 6], [""good"", 5], [""your"", 4], [""best"", 4]], ""3"": [[""taxi"", 7], [""cab"", 7], [""bus"", 7], [""truck"", 5], [""limo"", 2]], ""0"": [[""train"", 3], [""had"", 2], [""just"", 2], [""you"", 2], [""she"", 2]], ""1"": [[""ambulance"", 2], [""hour"", 2], [""empty"", 1], [""open"", 1], [""indoor"", 1]]}","{""2"": [""very"", ""super"", ""really"", ""extremely"", ""so""], ""4"": [""free"", ""quick"", ""good"", ""just""], ""3"": [""cab"", ""taxi"", ""bus"", ""truck"", ""limo""], ""0"": [], ""1"": [""ambulance"", ""hour"", ""elevator"", ""emergency"", ""appointment""]}"
uber,auto_k,2,0.24578848481178284,0.6462962962962963,0.524812030075188,0.5792531120331951,0.014429906542056075,0.0069710433390793225,0.7692307692307693,kmeans,cls,"{""1"": [[""very"", 4], [""just"", 4], [""special"", 3], [""all"", 3], [""so"", 3]], ""0"": [[""cab"", 6], [""taxi"", 6], [""bus"", 6], [""very"", 6], [""really"", 6]]}","{""1"": [""all"", ""just""], ""0"": [""new""]}"
uber,auto_k,2,0.23678012192249298,0.6505474452554745,0.5360902255639097,0.5877988458367683,0.023804160096117744,0.010005361243469289,0.7692307692307693,agglo,cls,"{""0"": [[""very"", 4], [""special"", 3], [""all"", 3], [""so"", 3], [""really"", 2]], ""1"": [[""quick"", 6], [""cab"", 6], [""taxi"", 6], [""bus"", 6], [""very"", 6]]}","{""0"": [""all""], ""1"": [""new""]}"
uber,forced_k,3,0.09685830771923065,0.9029649595687331,0.5037593984962406,0.6467181467181468,0.3482303385216007,0.4992604497920818,0.9538461538461539,kmeans,mask,"{""2"": [[""very"", 10], [""really"", 8], [""super"", 5], [""extremely"", 4], [""most"", 4]], ""1"": [[""quick"", 6], [""free"", 6], [""good"", 5], [""two"", 4], [""just"", 4]], ""0"": [[""bus"", 8], [""taxi"", 7], [""cab"", 7], [""truck"", 5], [""train"", 3]]}","{""2"": [""very"", ""super"", ""really"", ""extremely"", ""incredibly""], ""1"": [""free"", ""just"", ""all"", ""quick""], ""0"": [""taxi"", ""bus"", ""car"", ""cab""]}"
uber,forced_k,3,0.11126255989074707,0.9177489177489178,0.637593984962406,0.7524401064773736,0.4796456368136007,0.5676934617381255,0.9692307692307692,agglo,mask,"{""2"": [[""very"", 10], [""really"", 8], [""super"", 5], [""extremely"", 4], [""most"", 4]], ""1"": [[""quick"", 6], [""free"", 6], [""good"", 5], [""just"", 5], [""your"", 4]], ""0"": [[""taxi"", 7], [""cab"", 7], [""bus"", 7], [""truck"", 5], [""ambulance"", 3]]}","{""2"": [""very"", ""super"", ""really"", ""extremely"", ""so""], ""1"": [""all""], ""0"": [""taxi"", ""cab"", ""ambulance"", ""bus"", ""truck""]}"
